chain_id,code,decision,stage,candidate_source,matched_focal_lexicon,focal_regex,description,rationale_category,rationale,legacy_stage,previous_stage,adjudication_method,human_review_status
sheep,010410,include,exp_live,observable_regex,True,\b(?:sheep|lambs?|wool)\b,Sheep: live,observable_attribution_and_stage_fit,"The official HS92 description identifies live sheep and no other species, which is inside the canonical stage definition. No unobserved product form, feedstock, species, or end use is inferred from the commodity name alone.",exp_live,,frozen observable-attribution decision specification,not_performed
sheep,010420,exclude,,legacy_only,False,\b(?:sheep|lambs?|wool)\b,Goats: live,legacy_description_lacks_focal_term,"The historical proposal is retained for provenance, but the official HS92 description does not match the frozen focal lexicon. Observable attribution therefore forbids inclusion.",exp_live,,frozen observable-attribution decision specification,not_performed
sheep,020410,include,exp_meat,observable_regex,True,\b(?:sheep|lambs?|wool)\b,"Meat: of sheep, lamb carcasses and half-carcasses, fresh or chilled",observable_attribution_and_stage_fit,"The official HS92 description identifies meat of sheep or lamb, which is inside the canonical stage definition. No unobserved product form, feedstock, species, or end use is inferred from the commodity name alone.",exp_meat,,frozen observable-attribution decision specification,not_performed
sheep,020421,include,exp_meat,observable_regex,True,\b(?:sheep|lambs?|wool)\b,"Meat: of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), fresh or chilled",observable_attribution_and_stage_fit,"The official HS92 description identifies meat of sheep or lamb, which is inside the canonical stage definition. No unobserved product form, feedstock, species, or end use is inferred from the commodity name alone.",exp_meat,,frozen observable-attribution decision specification,not_performed
sheep,020422,include,exp_meat,observable_regex,True,\b(?:sheep|lambs?|wool)\b,"Meat: of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",observable_attribution_and_stage_fit,"The official HS92 description identifies meat of sheep or lamb, which is inside the canonical stage definition. No unobserved product form, feedstock, species, or end use is inferred from the commodity name alone.",exp_meat,,frozen observable-attribution decision specification,not_performed
sheep,020423,include,exp_meat,observable_regex,True,\b(?:sheep|lambs?|wool)\b,"Meat: of sheep (including lamb), boneless cuts, fresh or chilled",observable_attribution_and_stage_fit,"The official HS92 description identifies meat of sheep or lamb, which is inside the canonical stage definition. No unobserved product form, feedstock, species, or end use is inferred from the commodity name alone.",exp_meat,,frozen observable-attribution decision specification,not_performed
sheep,020430,include,exp_meat,observable_regex,True,\b(?:sheep|lambs?|wool)\b,"Meat: of sheep, lamb carcasses and half-carcasses, frozen",observable_attribution_and_stage_fit,"The official HS92 description identifies meat of sheep or lamb, which is inside the canonical stage definition. No unobserved product form, feedstock, species, or end use is inferred from the commodity name alone.",exp_meat,,frozen observable-attribution decision specification,not_performed
sheep,020441,include,exp_meat,observable_regex,True,\b(?:sheep|lambs?|wool)\b,"Meat: of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), frozen",observable_attribution_and_stage_fit,"The official HS92 description identifies meat of sheep or lamb, which is inside the canonical stage definition. No unobserved product form, feedstock, species, or end use is inferred from the commodity name alone.",exp_meat,,frozen observable-attribution decision specification,not_performed
sheep,020442,include,exp_meat,observable_regex,True,\b(?:sheep|lambs?|wool)\b,"Meat: of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), frozen",observable_attribution_and_stage_fit,"The official HS92 description identifies meat of sheep or lamb, which is inside the canonical stage definition. No unobserved product form, feedstock, species, or end use is inferred from the commodity name alone.",exp_meat,,frozen observable-attribution decision specification,not_performed
sheep,020443,include,exp_meat,observable_regex,True,\b(?:sheep|lambs?|wool)\b,"Meat: of sheep (including lamb), boneless cuts, frozen",observable_attribution_and_stage_fit,"The official HS92 description identifies meat of sheep or lamb, which is inside the canonical stage definition. No unobserved product form, feedstock, species, or end use is inferred from the commodity name alone.",exp_meat,,frozen observable-attribution decision specification,not_performed
